Tutorial Group,Student ID,School,Name,Gender,CGPA
G-2,5950,EEE,Susan Cox,Female,3.99
G-2,5391,SSS,Benjamin Nguyen,Male,4.0
G-2,3946,EEE,Jack Cox,Male,3.98
G-2,2931,ASE,Mary Cunningham,Female,4.14
G-2,1774,ASE,Diana Petersen,Female,4.15
G-2,3501,MSE,Edward Williams,Male,4.08
G-2,3383,MAE,Robert Brandt,Male,4.01
G-2,5799,SSS,Calvin Frye,Male,3.9
G-2,22,SPMS,Robert Castillo,Male,3.99
G-2,4587,CoE,Annette Hoffman,Female,4.18
G-2,4057,WKW SCI,Anthony Anderson,Male,3.9
G-2,4766,ASE,Thomas Miller,Male,4.12
G-2,2975,SSS,Douglas Bell,Male,3.97
G-2,2182,SBS,Ryan Butler,Male,3.91
G-2,1118,MAE,Isabella Thompson,Female,3.79
G-2,5779,MSE,Jonathan Moses,Male,4.06
G-3,89,CoE,Sharon Anderson,Female,4.05
G-3,2036,SoH,Krista Gomez,Female,3.96
G-3,4390,MSE,Eric Moore,Male,3.81
G-3,224,ADM,Nicole Mcgee PhD,Female,3.98
G-3,1239,SBS,Patrick Glenn,Male,3.94
G-3,1612,CoB (NBS),Jesse Jarvis,Male,4.0
G-3,2822,CCEB,Mrs. Rita Valenzuela DDS,Female,4.06
G-3,5228,CoE,Kimberly Conway,Female,3.98
G-3,2065,ADM,Leslie Woods,Female,3.88
G-3,2105,CoB (NBS),Elizabeth Jones,Female,4.14
G-3,2959,ASE,Christopher Jackson,Male,4.03
G-3,2793,CCDS,Vicki Petersen,Female,3.89
G-3,2007,SoH,Michelle Bishop,Female,4.11
G-3,4222,MSE,Susan Obrien,Female,4.04
G-3,2709,ADM,Holly Roth,Female,4.02
G-3,3845,NIE,Paula Chapman,Female,4.11
G-3,1826,SSS,Paula Golden,Female,3.65
G-3,3775,SPMS,Paige Anderson,Female,3.95
G-3,1695,WKW SCI,Patrick Medina,Male,4.06
G-3,2853,NIE,Amy Brown,Female,4.02
G-3,460,SPMS,Jonathan Johnson,Male,4.04
G-3,3996,CCDS,Barbara Pena,Female,4.15
G-3,1941,SPMS,Jacqueline Franklin,Female,4.03
G-3,543,NIE,Joseph Torres,Male,3.97
G-3,1547,SBS,Barry Carson,Male,4.07
G-3,2084,CoB (NBS),Roberto Turner,Male,4.04
G-3,2601,SoH,Frederick Wilkins,Male,4.2
G-3,2445,SBS,Taylor Carpenter,Female,4.14
G-3,1208,WKW SCI,Joanne Carter,Female,4.09
G-3,2301,CoB (NBS),Nicole David,Female,3.9
G-3,2261,SSS,Maria Haynes,Female,4.03
G-3,1677,SSS,Cindy Harvey,Female,3.94
G-3,3112,ASE,Craig Andersen,Male,4.0
G-3,5886,WKW SCI,Robert Benitez,Male,4.01
G-3,5777,SBS,Phillip Sanchez,Male,4.01
G-3,5743,WKW SCI,Sandra Mejia,Female,4.33
G-3,3854,SBS,Terri Mills,Female,4.15
G-3,2500,CCDS,Lawrence Jones,Male,3.87
G-3,706,MSE,Amanda Olson,Female,4.17
G-3,2460,EEE,Kelly Casey,Female,3.95
G-3,1366,CCDS,Paul Le,Male,4.09
G-3,775,CCEB,Valerie Andrade,Female,3.96
G-3,4351,CoB (NBS),Joshua Daugherty,Male,4.11
G-3,2056,MSE,Christine Martinez,Female,3.96
G-3,5610,EEE,Brooke Smith,Female,4.08
G-3,461,SSS,Cheryl York,Female,4.04
G-3,1715,ASE,Joshua Doyle,Male,3.95
G-3,4701,SoH,Daniel Hensley,Male,4.06
G-3,1879,CoE,Aaron Brown,Male,3.91
G-3,4466,CoE,Kimberly Sullivan,Female,4.03
G-4,3305,CoE,Mary Gray,Female,4.05
G-4,1975,ADM,Jennifer Gordon,Female,3.99
G-4,1656,ADM,William White,Male,4.06
G-4,907,MSE,Kristi Lyons,Female,4.02
G-4,1539,WKW SCI,Leslie Hernandez,Male,3.74
G-4,307,EEE,Mr. Brian Aguilar PhD,Male,3.96
G-4,449,CCEB,Lisa Ford,Female,3.88
G-4,1321,CoE,Jasmine Fisher,Female,4.05
G-4,5820,SSS,Allison Morris,Female,3.97
G-4,779,SSS,Douglas Wall,Male,4.1
G-4,4657,CoE,Yvette Rowe,Female,4.11
G-4,1202,CoE,Angela Brooks,Female,4.11
G-4,2350,ASE,Bryan Roberts,Male,4.01
G-4,5709,MAE,Jonathan Jimenez,Male,4.05
G-4,4334,ASE,Matthew Gonzales,Male,4.02
G-4,5975,CoB (NBS),Laura Ballard,Female,4.18
G-4,413,CoB (NBS),Jason Payne,Male,4.04
G-4,4285,CoE,Steven Meyers,Male,3.95
G-4,2117,CoE,Richard Castillo,Male,3.89
G-4,1821,SSS,Mathew Mckenzie,Male,4.16
G-4,1213,SSS,Sherry Mcmahon,Female,3.94
G-4,4708,MAE,John Oliver,Male,3.88
G-4,4326,NIE,Kenneth Roberts,Male,3.96
G-4,3709,EEE,Anna Bailey,Female,4.04
G-4,373,NIE,Joshua Campbell,Male,4.07
G-4,4295,CCDS,Albert Campos,Male,3.87
G-4,5903,MAE,Michael Tran,Male,4.09
G-4,2464,CCDS,Katherine Marshall,Female,4.02
G-4,3081,WKW SCI,Austin Turner,Male,4.19
G-4,3189,EEE,Sandra Carroll,Female,4.11
G-4,854,WKW SCI,Mrs. Alexandra Pacheco,Female,4.05
G-4,4532,WKW SCI,Jacqueline Phillips,Female,3.9
G-4,2823,SoH,Michele Murphy,Female,4.2
G-4,3058,SBS,Alexander Bond,Male,4.15
G-4,1353,CoB (NBS),Christine Reynolds,Female,3.89
G-4,1861,CoB (NBS),Amanda Fleming,Female,4.06
G-4,1563,CCDS,Anthony Goodwin,Male,3.88
G-4,4656,SPMS,Jennifer Smith,Female,3.99
G-4,5425,SPMS,Sharon Alvarado,Female,3.86
G-4,2258,CCDS,Zachary Jones,Male,3.94
G-4,4961,SoH,Cynthia Preston,Female,3.86
G-4,1128,SPMS,Kelsey Moreno,Female,3.98
G-4,1779,CoE,Lisa Lopez,Female,3.92
G-4,826,ADM,Mary Thompson,Female,3.97
G-4,3766,ASE,Stephen Jimenez,Male,4.09
G-4,948,SBS,Michael Hill,Male,4.03
G-4,1075,SPMS,Christopher Fernandez,Male,3.82
G-4,24,NIE,Kathryn Reed,Female,3.89
G-4,1090,CCEB,Anna Jones,Female,3.9
G-4,2565,SBS,John Sandoval,Male,3.99
G-5,754,CoE,Tony Costa,Male,4.08
G-5,1942,CoB (NBS),Connie Villanueva MD,Female,3.92
G-5,4002,SPMS,Elizabeth Stone,Female,3.99
G-5,4986,CCEB,Lynn Rangel,Female,4.07
G-5,4166,ASE,Vincent Lopez,Male,4.06
G-5,719,NIE,Eric Price,Male,4.05
G-5,3645,ASE,Michael Brown,Male,3.94
G-5,1589,CoB (NBS),Joseph Reeves,Male,4.02
G-5,4587,SBS,Mrs. Jasmine Duke,Female,3.84
G-5,1589,CoB (NBS),Sarah Wright,Female,4.03
G-5,5319,NIE,Alex Fisher,Male,4.12
G-5,3818,SSS,Ms. Kimberly Quinn,Female,4.02
G-5,4992,CoB (NBS),Jessica Livingston,Female,3.93
G-5,1541,CoB (NBS),Nicholas White,Male,3.99
G-5,1215,CoE,Mr. Hayden Carr MD,Male,3.91
G-5,1699,MAE,Tiffany Delgado,Female,4.05
G-5,3666,CoB (NBS),Marcus Sanchez,Male,3.95
G-5,5819,SoH,Michelle Dorsey,Female,4.09
G-5,4947,ADM,Valerie Jones,Female,4.04
G-5,4498,CCEB,Emily Jackson,Female,3.95
G-5,3069,ADM,Adam Wood Jr.,Male,3.88
G-5,3253,CCEB,Jeremiah Smith,Male,4.03
G-5,5406,CoB (NBS),Walter Walker,Male,3.82
G-5,3829,MSE,Leslie Buchanan,Female,3.84
G-5,450,SBS,Kimberly Hernandez,Female,4.14
G-5,3056,EEE,Levi Welch,Male,4.05
G-5,4929,SoH,Ryan Weaver,Male,4.21
G-5,430,SSS,Oscar Hall,Male,3.91
G-5,5354,CCDS,Linda Roman,Female,3.88
G-5,3153,CoB (NBS),Rebecca Hood,Female,3.9
G-5,2250,NIE,Mary Contreras,Female,4.02
G-5,3090,CoB (NBS),Mrs. Nancy Holden,Female,4.0
G-5,2250,CoE,Teresa Lyons,Female,3.83
G-5,4209,SBS,Sharon Knapp,Female,3.87
G-5,2496,SBS,Amanda Montes,Female,4.09
G-5,826,MSE,Scott Wells,Male,4.24
G-5,5187,SBS,Robert Sullivan,Male,4.01
G-5,5425,SPMS,Tracy Lewis,Female,4.11
G-5,1732,CoB (NBS),Karen Chapman,Female,3.81
G-5,3332,SPMS,Seth Byrd,Male,3.95
G-5,794,ADM,Ashley Ball,Female,4.01
G-5,4203,SPMS,Nathan Schmidt,Male,4.06
G-5,4686,ASE,Edward Carter,Male,4.07
G-5,4092,CoB (NBS),Mary Hurst,Female,4.0
G-5,2780,EEE,Michael Stewart,Male,3.83
G-5,4396,MSE,Devin Martin,Male,4.08
G-5,4184,MSE,Justin Diaz,Male,4.04
G-5,1424,SoH,Ashley Obrien,Female,3.97
G-5,4373,CoE,Walter Jones,Male,4.05
G-5,2932,CoE,Mary Lee,Female,4.07
G-6,2769,ASE,Douglas Peterson,Male,3.88
G-6,4895,ADM,Melissa Nichols,Female,4.09
G-6,2821,SBS,Zachary Li,Male,4.04
G-6,2088,SBS,Kristin Herrera,Female,3.93
G-6,685,SPMS,Molly Moore,Female,3.95
G-6,5699,MAE,Brittany Robinson,Female,3.82
G-6,151,MAE,Todd Lopez,Male,3.85
G-6,2542,MSE,Ashley Oconnell,Female,4.05
G-6,589,SPMS,John Lee,Male,4.06
G-6,2031,EEE,John Sandoval,Male,3.92
G-6,3118,EEE,Joseph Callahan,Male,3.97
G-6,5776,SBS,David Baker,Male,4.09
G-6,580,CCDS,Robert Maddox,Male,4.01
G-6,1584,NIE,Mrs. Sandra Maldonado,Female,4.06
G-6,245,SSS,Teresa Benitez,Female,4.01
G-6,4377,ASE,Jasmine Bolton,Female,3.94
G-6,5153,SoH,Jessica Watson,Female,4.01
G-6,5792,EEE,Jared Mcneil,Male,4.03
G-6,2824,SPMS,Dennis Wheeler,Male,3.95
G-6,2784,CCDS,Carla Moreno PhD,Female,3.98
G-6,4666,MSE,Joe Joseph,Male,3.96
G-6,5106,SSS,Joseph Carrillo,Male,3.95
G-6,4303,CoB (NBS),William Mclean,Male,3.85
G-6,5528,EEE,Alexis Miller,Female,3.97
G-6,3255,SSS,Diamond Casey,Female,3.99
G-6,85,SSS,Michael Torres,Male,4.13
G-6,5810,NIE,Brett Harding,Male,4.24
G-6,2482,SoH,Aaron Hoover,Male,4.03
G-6,378,MSE,Todd Sanders,Male,4.28
G-6,3135,EEE,Paul Tyler,Male,4.01
G-6,5671,NIE,Denise Hamilton,Female,3.95
G-6,2492,ADM,Shirley Martin,Female,4.09
G-6,474,NIE,Darrell Jackson,Male,4.05
G-6,4826,CoE,Courtney Cooper,Female,4.14
G-6,4687,CoE,Anna Smith,Female,3.93
G-6,3739,EEE,Felicia Daniels,Female,4.09
G-6,2772,ASE,Brandon Stephens Jr.,Male,4.19
G-6,372,CoB (NBS),Scott Rosario,Male,4.05
G-6,5577,CCDS,Richard Thomas,Male,4.1
G-6,3602,ADM,Benjamin Williams,Male,4.06
G-6,2869,NIE,Cassidy Ryan,Female,4.07
G-6,1133,CCEB,Christopher Holland,Male,3.99
G-6,906,MSE,Justin Blankenship,Male,4.01
G-6,4050,SPMS,Laura Miller,Female,4.07
G-6,376,SoH,Judith Smith,Female,4.03
G-6,4566,CoB (NBS),Justin Bowen,Male,4.06
G-6,2980,EEE,Dwayne Ramirez,Male,4.14
G-6,3069,EEE,Andrew Ray,Male,4.01
G-6,51,CCDS,Cynthia Price,Female,3.99
G-6,1552,EEE,Matthew Brooks,Male,4.0
G-7,2708,CoE,Nathaniel Chandler,Male,4.1
G-7,968,NIE,Martha Carter,Female,4.08
G-7,5000,SSS,Jeffrey Shaw,Male,4.08
G-7,3681,CoB (NBS),Jenny Davidson,Female,4.0
G-7,2140,ASE,Cathy Riggs,Female,4.04
G-7,1922,MSE,Andrew White,Male,3.89
G-7,5481,CoB (NBS),Raymond Christensen,Male,4.13
G-7,3571,SBS,Rebecca Kane,Female,3.86
G-7,3444,MAE,Suzanne Lambert,Female,3.91
G-7,1035,SSS,Amber Sanders,Female,3.89
G-7,1691,ASE,Walter Jacobs,Male,3.96
G-7,4535,MAE,Desiree Lewis,Female,3.83
G-7,3444,NIE,Mary King,Female,3.91
G-7,2817,SSS,Brett Stevenson,Male,3.98
G-7,5228,CoE,David Foster,Male,4.11
G-7,36,SSS,Tyrone Vaughan,Male,4.22
G-7,5618,NIE,Amy Roman,Female,4.06
G-7,1353,EEE,Eric Fisher,Male,3.91
G-7,4468,NIE,Tiffany Patterson,Female,4.04
G-7,1367,ADM,Aaron Medina,Male,3.97
G-7,4954,SSS,Lisa Thomas PhD,Female,3.9
G-7,4708,ADM,Kerri Farley PhD,Female,4.14
G-7,4889,SSS,Shawn Baird,Male,4.02
G-7,560,MSE,Angela Norris,Female,3.89
G-7,5602,CoB (NBS),Emily Baldwin,Female,3.98
G-7,4314,SoH,Donna Mooney,Female,4.06
G-7,3507,CoE,Mr. Kerry Austin,Male,3.93
G-7,1820,ADM,Kimberly Wilkerson,Female,4.04
G-7,5052,SPMS,Benjamin Dunn,Male,3.98
G-7,4100,MAE,Cheryl Smith,Female,4.04
G-7,1262,ASE,Patricia Love,Female,3.85
G-7,2153,WKW SCI,Chelsea Lee,Female,3.87
G-7,2652,SPMS,Brian Garcia,Male,4.01
G-7,3381,ADM,Edward Wiggins,Male,3.89
G-7,3391,CoB (NBS),David Boyd,Male,3.99
G-7,2899,SBS,Kimberly Johnson,Female,3.91
G-7,3826,CCEB,Teresa Velasquez,Female,4.24
G-7,850,NIE,Christopher Gordon,Male,3.89
G-7,4405,SBS,Marc Wiley,Male,3.92
G-7,5791,SBS,Amy Kemp,Female,4.1
G-7,4545,WKW SCI,Stephanie Miller,Female,4.21
G-7,3626,NIE,Barbara Johnson,Female,3.82
G-7,910,MAE,Amber Oconnor,Female,3.98
G-7,5845,SSS,Christine Johnson PhD,Female,4.1
G-7,3225,CCEB,Gina Wells,Female,4.01
G-7,3671,ADM,Thomas Woods,Male,4.09
G-7,2906,SBS,Julia Johnston,Female,4.02
G-7,3620,SoH,Cheryl Smith,Female,3.98
G-7,240,ADM,Kimberly Bender,Female,3.89
G-7,4437,ADM,Erica Becker,Female,3.97
G-8,54,SBS,April Patel,Female,4.13
G-8,5698,SBS,Michelle Goodwin,Female,4.08
G-8,5115,CCEB,Jacqueline Pacheco,Female,3.98
G-8,1613,MAE,Susan Patterson,Female,4.07
G-8,2621,SoH,Natalie Thomas,Female,4.18
G-8,688,SSS,Erika Grant,Female,3.94
G-8,5747,MAE,William Castillo,Male,3.93
G-8,5304,WKW SCI,Tammy Bowers,Female,3.99
G-8,3689,MAE,Alexis Mitchell,Female,3.94
G-8,1547,WKW SCI,Christopher Ortega,Male,4.02
G-8,5855,MSE,Heather Deleon,Female,3.75
G-8,750,SoH,Melissa Tucker,Female,3.97
G-8,2702,ADM,Nicole Munoz MD,Female,4.06
G-8,787,SoH,Brian Wallace,Male,4.06
G-8,2321,WKW SCI,Edward Crawford,Male,3.99
G-8,1579,CoB (NBS),Lauren Rush,Female,4.01
G-8,533,ADM,Charles Walker,Male,3.94
G-8,670,SoH,Sara Wallace,Female,4.2
G-8,1368,CoE,Anna Fitzgerald,Female,4.19
G-8,4180,ASE,Andrew Becker,Male,4.06
G-8,3508,MAE,Andrew Bell,Male,3.9
G-8,4643,EEE,Sandra Palmer,Female,4.0
G-8,5281,MAE,Nathaniel Phillips,Male,3.96
G-8,3484,ADM,Troy Diaz,Male,3.86
G-8,5938,EEE,Jennifer Thomas DVM,Female,3.99
G-8,1799,ADM,Leslie Nelson,Female,3.87
G-8,3032,SPMS,Teresa Rose,Female,4.09
G-8,860,SoH,Autumn Wilson,Female,4.09
G-8,1689,MSE,Albert Curry,Male,4.05
G-8,5900,CoB (NBS),Erica Lopez,Female,4.01
G-8,1420,ADM,Shirley Powers,Female,3.93
G-8,5651,CoE,Terri Willis,Female,3.98
G-8,4710,ASE,Natalie Lee DDS,Female,4.17
G-8,2954,CCDS,David Hinton,Male,3.95
G-8,4310,MAE,Jeremy Carr,Male,4.18
G-8,4357,CoB (NBS),Terry Holloway,Male,4.12
G-8,4935,CCDS,Jennifer Cobb,Female,3.93
G-8,3466,SSS,Chad James,Male,4.12
G-8,1604,ASE,Alexander Robertson,Male,3.93
G-8,2654,CoB (NBS),Jonathan Henderson,Male,4.17
G-8,5938,SSS,Brandon Gross,Male,3.98
G-8,1906,CoE,Jeffery Burton,Male,4.13
G-8,2786,WKW SCI,Thomas White,Male,3.71
G-8,4413,CCDS,Kristine Gonzalez,Female,3.86
G-8,3185,CCEB,Bradley Lopez,Male,3.92
G-8,4114,SoH,Kelsey Miller,Female,4.0
G-8,1176,SBS,Matthew Miller,Male,3.88
G-8,1361,CCEB,Alicia Delacruz,Female,4.19
G-8,5406,CCDS,Clayton Smith,Male,4.22
G-8,5756,WKW SCI,Carlos Johnson,Male,3.93
G-9,2113,MAE,Samantha Sanchez,Female,4.01
G-9,2884,CoE,Jacqueline Golden,Female,3.91
G-9,418,CCDS,Paige Ross,Female,3.92
G-9,1078,NIE,Valerie Zuniga,Female,4.05
G-9,504,ASE,Mary Patel,Female,3.86
G-9,605,CCEB,Christopher Roth,Male,3.99
G-9,3084,EEE,Melanie Jones,Female,4.13
G-9,826,SBS,Christine George,Female,3.97
G-9,2863,NIE,Ashley Carter,Female,3.99
G-9,657,SPMS,Lindsey Jones,Female,3.92
G-9,5935,SSS,Laura Moore,Female,3.94
G-9,1474,SSS,Aaron Perez,Male,4.07
G-9,509,SBS,Christopher Richards,Male,3.93
G-9,4058,WKW SCI,Dustin Trevino,Male,3.9
G-9,1351,MSE,Isaac Huffman,Male,4.0
G-9,2761,CoE,Lindsay Patterson,Female,3.81
G-9,4665,SPMS,Denise Cox,Female,4.01
G-9,2371,ADM,Tamara Newman,Female,3.9
G-9,750,ADM,Scott Morales,Male,4.24
G-9,1068,NIE,Jennifer Gibson,Female,3.86
G-9,1895,SBS,Kenneth Woods,Male,3.91
G-9,3204,MAE,Jennifer Baldwin,Female,4.21
G-9,2394,NIE,Jennifer Boyd,Female,3.97
G-9,1655,CCEB,Christy Mccullough,Female,4.1
G-9,5625,CoB (NBS),Linda Mills,Female,3.99
G-9,1527,EEE,Thomas Kelley,Male,4.19
G-9,4830,NIE,Melissa Johnston,Female,3.96
G-9,4208,CoB (NBS),Timothy Fowler,Male,3.93
G-9,422,MAE,Timothy Douglas,Male,4.16
G-9,1566,WKW SCI,Michael Campbell,Male,3.91
G-9,5839,CoB (NBS),Kent Cobb,Male,3.87
G-9,215,MSE,Mary Bishop,Female,3.91
G-9,2823,MAE,Jeffrey Small,Male,4.03
G-9,1974,CCDS,Lucas Perez,Male,3.82
G-9,5881,MSE,Christopher Johnson,Male,3.91
G-9,4262,EEE,Christian James,Male,4.08
G-9,5412,CCDS,Chad Delgado,Male,3.88
G-9,3137,EEE,Rebecca Morris,Female,4.11
G-9,4552,MSE,Kelsey Hawkins,Female,3.76
G-9,1265,NIE,James Hansen,Male,4.01
G-9,2299,CCEB,Jimmy Williams,Male,4.06
G-9,5241,MAE,Frank May,Male,4.0
G-9,5078,MAE,Kelly Roberts,Female,3.81
G-9,3933,ADM,Kim Nelson,Female,3.95
G-9,1225,ASE,Joseph Larson,Male,3.9
G-9,5154,EEE,Alexandra Wilson,Female,3.99
G-9,4910,EEE,Crystal Williams,Female,3.93
G-9,582,SBS,Daniel Villanueva,Male,3.96
G-9,1249,ASE,Jeffrey Gordon,Male,4.01
G-9,853,SoH,Adam Sanchez,Male,4.14
G-10,1960,MSE,Audrey Taylor,Female,4.04
G-10,289,CCDS,Derrick Bishop,Male,4.13
G-10,2432,CoE,Jordan Kelly,Female,4.08
G-10,729,SSS,Hector Perez,Male,3.97
G-10,4983,CoE,Dr. Courtney Perry,Female,3.93
G-10,4459,SoH,Gina Houston,Female,3.9
G-10,5476,CoB (NBS),Nicholas Hale,Male,4.01
G-10,2131,SoH,Melissa Shannon,Female,3.88
G-10,1322,SPMS,Steve Gordon,Male,3.8
G-10,1654,EEE,Antonio Hernandez,Male,4.09
G-10,2688,SSS,Pamela Hall,Female,4.14
G-10,1864,SSS,Tammy Cox,Female,4.21
G-10,2365,ADM,Penny Camacho,Female,4.0
G-10,3070,ASE,Isabella Shaw,Female,4.09
G-10,5590,ASE,William Brown,Male,3.98
G-10,5457,SBS,Robert Murray,Male,4.02
G-10,5351,SSS,Meagan Daniels,Female,3.97
G-10,1966,SoH,James Cannon,Male,3.98
G-10,1095,SPMS,Nicholas Beard,Male,3.87
G-10,5413,CoB (NBS),Mary Gray,Female,3.98
G-10,136,SSS,Gregory Pace,Male,4.14
G-10,971,WKW SCI,Ryan Green,Male,3.97
G-10,3255,EEE,David Chavez,Male,3.99
G-10,4885,MSE,Andrew Haynes,Male,4.08
G-10,3046,CoB (NBS),Mary George,Female,4.07
G-10,3215,SSS,Anna Dunlap,Female,4.14
G-10,3977,CoE,David Ochoa,Male,4.1
G-10,3217,MSE,Sheila Moses,Female,3.93
G-10,2021,NIE,Nathan Lynch,Male,3.96
G-10,5724,ASE,James Alexander,Male,3.95
G-10,5098,SoH,Molly Jimenez,Female,4.09
G-10,5568,EEE,Alice Hall,Female,3.92
G-10,5174,WKW SCI,Shane Mccarthy,Male,3.97
G-10,1478,SBS,Jill Howard,Female,3.87
G-10,3718,CoE,Margaret Miller,Female,3.94
G-10,3174,WKW SCI,Jared Lopez,Male,3.89
G-10,3830,NIE,Heather Lee,Female,4.0
G-10,5664,CoB (NBS),Philip Barrett,Male,4.05
G-10,5243,EEE,Sabrina Matthews,Female,3.99
G-10,4431,SoH,Lindsay Brown,Female,3.96
G-10,651,SoH,Kevin Torres,Male,3.89
G-10,2852,MSE,Dr. Jill Wang MD,Female,3.96
G-10,4802,ASE,Diana Austin,Female,3.94
G-10,430,MSE,Charles Schwartz,Male,4.02
G-10,656,MAE,Heather Thomas,Female,3.95
G-10,5083,CoB (NBS),Brian Lara,Male,3.87
G-10,1748,CoB (NBS),Andrew Patel,Male,4.05
G-10,5785,CoE,Katrina Powers,Female,4.07
G-10,621,SoH,Michael Phelps,Male,4.03
G-10,945,CoB (NBS),Jay Cole,Male,4.13
G-11,5771,SBS,Michael Evans,Male,4.16
G-11,2520,NIE,Antonio Swanson,Male,4.12
G-11,3544,CoE,Amanda Elliott,Female,3.92
G-11,3122,MSE,Caitlin Morgan,Female,4.05
G-11,59,MAE,Joshua Trujillo,Male,3.95
G-11,2404,NIE,Zachary Meyers,Male,3.97
G-11,4603,SoH,Tamara Bell,Female,3.92
G-11,2319,CCEB,Michelle Simon,Female,4.14
G-11,1577,EEE,Cassandra Scott,Female,3.98
G-11,3865,CoE,Audrey Wood,Female,4.16
G-11,1970,WKW SCI,Stephen Peck,Male,3.94
G-11,3832,SSS,Angel Long,Female,4.01
G-11,731,CoE,Andrea Cabrera,Female,4.01
G-11,1121,EEE,Crystal Riley,Female,4.03
